id,name,sort_name,institution,country,region,research_area_1,research_area_2,keywords,website,website_2,career_stage,roster,notes,source
adams-rachel,"Adams, Rachel","adams, rachel","Univ California, Berkeley",US,North America,Ecology,Evolution,Indoor mycology; Microbial Ecology,,,Junior,faculty,,wrifo-workbook; airtable
aime-catherine,"Aime, Catherine","aime, catherine",Purdue Univ,US,North America,Plant Pathology,Evolution,Rust fungi; Evolution; Biodiversity; Biogeography,https://ag.purdue.edu/btny/Pages/Profile.aspx?strAlias=maime,,Intermediate,faculty,,wrifo-workbook; airtable
aitken-elizabeth-liz,"Aitken, Elizabeth (Liz)","aitken, elizabeth (liz)",University of Queensland,AU,Australia/NZ,Plant Pathology,Genetics/Genomics,Diagnostics,https://researchers.uq.edu.au/researcher/352,,Senior,faculty,,wrifo-workbook; airtable
alastruey-izquierdo-ana,"Alastruey-Izquierdo, Ana","alastruey-izquierdo, ana",Instituto de Salud Carlos III,ES,Europe,Medical Mycology,Genetics/Genomics,Azole resistance; genomics,https://www.isciii.es/QuienesSomos/CentrosPropios/CNM/Micologia/Paginas/default.aspx,,Intermediate,faculty,,wrifo-workbook; airtable
alcazar-fuoli-laura,"Alcazar-Fuoli, Laura","alcazar-fuoli, laura",Instituto de Salud Carlos III,ES,Europe,Medical Mycology,Genetics/Genomics,Azole resistance; genomics,https://www.isciii.es/QuienesSomos/CentrosPropios/CNM/Micologia/Paginas/default.aspx,,Junior,faculty,,wrifo-workbook; airtable
alexander-barbara,"Alexander, Barbara","alexander, barbara",Duke University,US,North America,Medical Mycology,Genetics/Genomics,,https://mgm.duke.edu/personnel/barbara-d-alexander-md-mhs,,Senior,faculty,,wrifo-workbook
andersen-birgitte,"Andersen, Birgitte","andersen, birgitte",Technical University of Denmark,DK,Europe,Biotechnology,Ecology,Indoor mycology; Mycotoxins; Biodiversity; Ascomycetes; Taxonomy,http://www.bio.dtu.dk/english/Research/Research-groups/Fungal_Degradation,,Intermediate,faculty,,wrifo-workbook; airtable
angela-maria-lopez,Angela María Lopez,angela maria lopez,Corporacion para Investigaciones Biologicas,CO,South America,Medical Mycology,,Paracoccidioides; Candida; Aspergillus,https://www.researchgate.net/profile/Angela-Lopez-9,,,faculty,,wrifo-workbook; airtable
arnold-a-elizabeth-betsy,"Arnold, A. Elizabeth (Betsy)","arnold, a. elizabeth (betsy)",Univ Arizona,US,North America,Ecology,Evolution,Endophytes; Evolution; Lichen,http://arnoldlab.net/,,Senior,faculty,,wrifo-workbook; airtable
arrieta-marie-claire,"Arrieta, Marie-Claire","arrieta, marie-claire",University of Calgary,CA,North America,Genetics/Genomics,Immunology,microbiome; metabolism; immunology,https://www.arrietalab.com/,,Junior,faculty,,wrifo-workbook; airtable
