name,institution,notes,source
Amariliz Rivera,Rutgets (not on Twitter),,Faculty
Anna Apostolopoulou,Cornell,clinical mycology,To sort
Barbara Alexander,Duke,"America, Diagnostics, Clinical mycology",Faculty
Dora Corzo-Leon,Exeter,Mucorales + clin mycology,To sort
Elitza Theel,Mayo,diagnostics (serology),To sort
Ester Babady,MSKCC,molecular diagnostics,To sort
Fanny Laternier,Pasteur,clinical & translational mycology,To sort
Fariba Donovan,U Arizona,Coccidioides,To sort
Hong Nguyễn,UPMC,diagnostics,To sort
Jennifer Head,UMich,"epi, infectious disease dynamics, climate change",To sort
Jessica Little,Harvard,clinical mycology,To sort
Jo-Anne Young,UMinn,clinical mycology,To sort
Joanne Rhodes,Radboud UMC,genomics,To sort
Julia Messina,Duke,translational / clinical mycology,Faculty
Julianne Kus,PHO/UT,diagnostics / blastomycosis,To sort
Julie Steinbrink,Duke,"diagnostics, host transcriptomics",Faculty
Kathleen Mills,MSKCC,,Faculty
Katrien Lagrou,Leuven,diagnostics,To sort
Kim Hanson,ARUP,"diagnostics, immunocompromised hosts",To sort
Laurence Millon,CHU Besançon,mucorales pcr,To sort
Lena Heung,UCLA,,Faculty
Libby Dodds-Ashley,Duke,therapeutics / antifungals,To sort
Maiken Cavling Arendrup,Staten Serum Institute,"AFST, diagnostics",To sort
Mari Shinohara,Duke,,Faculty
Maria Fernanda Gonzalez,Instituto Nacional de Ciencias Médicas,"Mexico, Clinical Mycology",To sort
Marisa Miceli,Michigan,clinical mycology,To sort
Melissa Johnson,Duke,therapeutics / antifungals,To sort
Monica Slavin,Peter MacCallum,clinical mycology,To sort
Morgan Gorris,Los Alamos,"modeling, climate change",To sort
Rachel Wake,NICD,"clinical mycology, cryptococcal meningitis",To sort
Radha Rajasingham,U Minn,cryptococcal meningitis,To sort
Rita Oladele,U Lagos,"Clin mycology, public health",To sort
Sara Hammond,Harvard,clinical mycology,To sort
Sharon Chen,Westmead Hospital (AUS),clinical mycology & diagnostics,To sort
Sophia Koo,Harvard,diagnostics,To sort
Tanis Dingle,Alberta Precision Labs,diagnostics,To sort
Thuy Le,Duke,"Talaromyces, translational (diagnostics, therapies), clinical trials.",Faculty
Tihana Bicanic,St Georges,clin myc,To sort
Wendy van de Sande,Erasmus,Mycetoma,To sort
