Name,Institution (Country code),Region (select from pulldown),Research Area 1 (select from pulldown),Research Area 2 (select from pulldown),Keywords,"Lab website (research website, Not linkedIn etc)",Career Stage Jr=asst prof or equiv; Sr=full prof or equiv),
"Blackwell, Meredith",Louisiana State Univ,North America,Evolution,,Yeasts; Insect-Fungi; Evolution,,Emeritus,
"Howlett, Barbara",University of Melbourne (AUS),Australia/NZ,Plant Pathology,Genetics/Genomics,"secondary metabolism, endophytes",http://www.findanexpert.unimelb.edu.au/display/person15961,Emeritus,
"Longcore, Joyce",U Maine (US),North America,Evolution,Ecology,Chytrids; Batrachochytrium,https://umaine.edu/chytrids/,Emeritus,
"Powell, Martha",University of Alabama (US),North America,Evolution,Cell biology,"chytrids, taxonomy",http://chytrid.as.ua.edu/,Emeritus,
"Aime, Catherine",Purdue Univ (US),North America,Plant Pathology,Evolution,Rust fungi; Evolution; Biodiversity; Biogeography,https://ag.purdue.edu/btny/Pages/Profile.aspx?strAlias=maime,Intermediate,
"Alastruey-Izquierdo, Ana",Instituto de Salud Carlos III (ES),Europe,Medical Mycology,Genetics/Genomics,"Azole resistance, genomics",https://www.isciii.es/QuienesSomos/CentrosPropios/CNM/Micologia/Paginas/default.aspx,Intermediate,
"Andersen, Birgitte",Technical University of Denmark (DK),Europe,Biotechnology,Ecology,"Indoor mycology; Mycotoxins; Biodiversity; Ascomycetes, Taxonomy",http://www.bio.dtu.dk/english/Research/Research-groups/Fungal_Degradation,Intermediate,
"Bachewich, Catherine",Concorida (CA),North America,Medical Mycology,Cell biology,Candida morphogenesis and Cell Cycle,https://www.concordia.ca/artsci/biology/faculty.html?fpid=catherine-bachewich,Intermediate,
"Ballini, Elsa",Montpellier SupAgro (FR),Europe,Plant Pathology,Genetics/Genomics,Magnaporthe oryzae; Rice blast; Genomics; Genetics; Nitrogen metabolism; Defense metabolism; Plant-Microbe interactions,https://www.researchgate.net/profile/Elsa_Ballini,Intermediate,
"Barker, Bridget",N. Arizona Uni (US),North America,Medical Mycology,Genetics/Genomics,Coccidioides,https://www.valley-fever.com/,Intermediate,
"Barnes, Irene","Forestry and Agricultural Biotechnology Institute, Pretoria (ZA)",Africa,Plant Pathology,Genetics/Genomics,Forest Pathology; Taxonomy; Phylogeny; Population genetics; Genomics; Mycosphaerellaceae; Ceratocystis,http://www.fabinet.up.ac.za/index.php/people-profile?profile=957,Intermediate,
"Bertolini, Maria Celia","Instituto de Química, UNESP (BR)",South America,Biochemistry,Genetics/Genomics,"Neurospora; glucose metabolism, transcription factor",,Intermediate,
"Bertuzzi, Margherita",University of Manchester (UK),Europe,Medical Mycology,Cell biology,,https://www.research.manchester.ac.uk/portal/margherita.bertuzzi.html,Intermediate,
"Bignell, Elaine",University of Exeter (UK),Europe,Medical Mycology,Genetics/Genomics,Med Micro; Aspergillus,http://biosciences.exeter.ac.uk/staff/profile/index.php?web_id=Elaine_Bignell,Intermediate,
"Blair, Jaime",Franklin & Marshall,North America,Genetics/Genomics,Evolution,Phylogenetics; Genomics; Oomycetes,http://www.fandm.edu/jaime-blair,Intermediate,
"Bousset-Vaslin, Lydia","INRA, Rennes (FR)",Europe,Plant Pathology,Ecology,Leptosphaeria maculans; Phoma stem canker; Epidemiology; Modeling; Population biology; Metapopulations,https://www6.rennes.inra.fr/igepp_eng/Personnel/B/Bousset-Vaslin-Lydia,Intermediate,
"Brand, Alexandra",Univ of Exeter (UK),Europe,Cell biology,Development,Med Micro; Candida,http://www.abdn.ac.uk/ims/research/microbiology/profiles/a.brand,Intermediate,
"Brem, Rachel",Buck Institute,North America,Genetics/Genomics,Evolution,Genetics; Genomics; Saccharomyces,https://www.buckinstitute.org/bremLab,Intermediate,
"Burgess, Treena",Murdoch University (AU),Europe,Plant Pathology,Ecology,Phytophthora; phylogenetics; forest pathology; population genetics; landscape ecology,http://www.cpsm-phytophthora.org/,Intermediate,Starts summer 2018
"Chadha, Sonia",Bhabha Atomic Research Centre (IN),Asia,Plant Pathology,Biotechnology,"Antifungal peptides, Phylogenomics, Evolution, Transposable Elements, Magnaporthe oryzae",https://www.researchgate.net/profile/Sonia-Chadha-2,Intermediate,
"Chaverri, Priscilla",University of Maryland (US) & Universidad de Costa Rica (CR),North America,Plant Pathology,Evolution,"Systematics, Trichoderma, Endophytes, Plant Pathology",https://psla.umd.edu/people/dr-priscila-chaverri,Intermediate,
"Chowdhary, Anuradha",University of Delhi (IN),Asia,Medical Mycology,Genetics/Genomics,"Antifungal resistance, molecular typing and epidemiology of emerging pathogenic fungi. Candida auris",http://www.vpci.org.in/pageLevel.php?id=11&cat=implinks&subid=47&subcat=implinks_sublinks_sublinks,Intermediate,
"Cowen, Leah",Univ of Toronto (CA),North America,Cell biology,Medical Mycology,Genomics; Functional Genomics; Drug Resistance; Evolution; Candida,http://individual.utoronto.ca/cowen/,Intermediate,
"Crosthwaite, Susan",University of Manchester (UK),Europe,Genetics/Genomics,Signaling,"Neurosora, circadian clock regulation,",http://www.manchester.ac.uk/research/susan.crosthwaite/,Intermediate,
"Crouch, JoAnne",ARS Systematic Mycology Lab (US),North America,Evolution,Plant Pathology,"Genomics, Phylogenetics, Systematics, Oomycete and Fungal emerging pathogens of grasses and ornamentals",http://www.ornamentalpathology.com/,Intermediate,
"Davey, Marie",Univ of Oslo,Europe,Ecology,Evolution,Mycorrhizae; bryophilous fungi; fungal population biology,http://www.mn.uio.no/ibv/personer/vit/marieda/,Intermediate,
"Donofrio, Nicole",Univ Deleware,North America,Genetics/Genomics,Plant Pathology,Magnaporthe; Plant Pathology; Genetics,http://canr.udel.edu/faculty/donofrio-nicole/,Intermediate,
"Dunham, Maitreya",Univ of Washington,North America,Genetics/Genomics,Cell biology,Genetics; Saccharomyces,http://dunham.gs.washington.edu/,Intermediate,
Edith Sanchez Paredes,Universidad Nacional Autonoma de Mexico,North America,Medical Mycology,Cell biology,"Cryptococcus, Candida, Kluyveromyces",,Intermediate,
"Fairhead, Cécile",Univ Paris-Sud 11 (FR),Europe,Evolution,Genetics/Genomics,Evolutionary Biology; Saccharomyces,https://www.researchgate.net/profile/Cecile_Fairhead,Intermediate,
"Foulongne-Oriol, Marie","INRA, Bordeaux (FR)",Europe,Plant Pathology,Genetics/Genomics,Quantitative genetics; QTL; Genomics; Agaricus; Fusarium Head Blight; Mycotoxins,https://www.researchgate.net/profile/Marie_Foulongne-Oriol,Intermediate,
