Name,Institution (Country code),Region (select from pulldown),Research Area 1 (select from pulldown),Research Area 2 (select from pulldown),Keywords,"Lab website (research website, Not linkedIn etc)",Career Stage Jr=asst prof or equiv; Sr=full prof or equiv)
"Biketova, Alona Yuryevna (Alyona)",University of Haifa (IL),Europe,Ecology,,,,PhD
"Breen, Susan",Australian National University,Australia/NZ,Plant Pathology,Cell biology,"Plant Pathogen Interactions, Effectors, protein-protein interactions",http://biology.anu.edu.au/people/susan-breen,Postdoc
"Catanzariti, Ann-Maree",Australian National University,Australia/NZ,Plant Pathology,Cell biology,"Plant Pathogen Interactions, Effectors, resistance genes",http://biology.anu.edu.au/people/ann-maree-catanzariti,Postdoc
"Dambuza, Ivy",University of Exeter (UK),Europe,Medical Mycology,Signaling,"Immunology, host-pathogen interactions, C-type lectins, Candida, Cryptococcus",,Postdoc
"Delmas, Chloé","INRA, Bordeaux (FR)",Europe,Evolution,Ecology; Evolution; Epidemiology; Climate change; Grapevine pathogens; Trait evolution,,https://sites.google.com/site/chloedelmas/,Postdoc
"Hodgins-Davis, Andrea",Univ Michigan (US),North America,Evolution,Genetics/Genomics,yeast; genomics; evolution; ecology,http://sciencehd.org/,Postdoc
"Kowalski, Caitlin",University of Oregon,North America,Genetics/Genomics,Medical Mycology,fungal-bacterial interactions; skin microbiome; Malassezia; host-microbe interactions,https://caitlinkowalski.com/,Postdoc
"Ropars, Jeanne",Institut Pasteur (FR),Europe,Evolution,Genetics/Genomics,"Adaptation, sex evolution, mating-type, Penicillium, Arbuscular Mycorrhizal Fungi, Candida albicans, population genetics and genomics",https://research.pasteur.fr/fr/member/jeanne-ropars/,Postdoc
"Ruger-Herreros, Carmen",University of Heidelberg (DE),Europe,Genetics/Genomics,Biochemistry,"Neurospora, circadian clock regulation, transcriptional regulation, photobiology",http://bzh.db-engine.de/default.asp?lfn=2241&fg=2319&fgItem=2350&setLang=en,Postdoc
"Sánchez-Torres, Paloma",Universitat Politècnica de València (ES),Europe,,,,,
"Taneja, Jyoti",University of California Berkeley  (US),North America,,,,,Postdoc
"Yilmaz, Neriman",FABI-University of Pretoria,Africa,Evolution,Plant Pathology,Taxonomy; mycotoxins; Fusarium; Genetics,https://www.researchgate.net/profile/Neriman_Yilmaz,Postdoc
"Parkinson, Louisa",University of Queensland,Australia/NZ,Plant Pathology,Genetics/Genomics,Diagnostics,https://gcc02.safelinks.protection.outlook.com/?url=https%3A%2F%2Fresearchers.uq.edu.au%2Fresearcher%2F20010&data=02%7C01%7C%7C7e583cfe8ed943d926cf08d730cdc066%7Ced5b36e701ee4ebc867ee03cfa0d4697%7C0%7C0%7C637031532573037886&sdata=Rq0h%2BdQm2yHAu1Z54b22HocbeCfB3p%2F2EwAmNkRrShc%3D&reserved=0,Postdoc
"Vargas, Lluvia",CICESE (MX),North America,Ecology,Genetics/Genomics,Fungal Diversity; Marine and terresterial Fungi,,Postdoc
"Sánchez-Torres, Paloma",,North America,,,,https://www.researchgate.net/profile/Paloma_Sanchez-Torres,Postdoc
"Van Dyke, Marley C",Northern Arizona University (US),North America,Medical Mycology,Immunology,"Cryptococcus, Coccidioides",,Postdoc
"Hannula, Emilia",Netherlands Institute of Ecology (NIOO-KNAW),Europe,Ecology,Evolution,"AMF; plant-fungal interactions,",https://nioo.knaw.nl/nl/employees/emilia-hannula,Postdoc
"Hatmaker, E. Anne",USDA-ARS (US),North America,Genetics/Genomics,Evolution,Population genomics; evolution of virulence,,
"MacAlpine, Jessie",NIAID (US),North America,Medical Mycology,,,,
"Eichelberger, Kara",Vanderbilt University (US),North America,Medical Mycology,,Candida; fungal-bacterial interactions,,
"Horianopoulos, Linda",University of Wisconsin-Madison,North America,,,Yeast; metabolism,,
,,North America,,,,,
,,North America,,,,,
