"Sophia Koo, Harvard, diagnostics"
"Jessica Little, Harvard, clinical mycology"
"Sara Hammond, Harvard, clinical mycology"
"Jo-Anne Young, UMinn, clinical mycology"
"Katrien Lagrou, Leuven, diagnostics"
"Anna Apostolopoulou, Cornell, clinical mycology"
"Tihana Bicanic, St Georges, clin myc"
"Ester Babady, MSKCC, molecular diagnostics"
"Elitza Theel, Mayo, diagnostics (serology)"
"Julianne Kus, PHO/UT, diagnostics / blastomycosis"
"Tanis Dingle, Alberta Precision Labs, diagnostics"
"Monica Slavin, Peter MacCallum, clinical mycology"
"Hong Nguyễn, UPMC, diagnostics"
"Fariba Donovan, U Arizona, Coccidioides"
"Marisa Miceli, Michigan, clinical mycology"
"Kim Hanson, ARUP, diagnostics, immunocompromised hosts"
"Rachel Wake, NICD, clinical mycology, cryptococcal meningitis"
"Radha Rajasingham, U Minn, cryptococcal meningitis"
"Melissa Johnson, Duke, therapeutics / antifungals"
"Libby Dodds-Ashley, Duke, therapeutics / antifungals"
"Rita Oladele, U Lagos, Clin mycology, public health"
"Wendy van de Sande, Erasmus, Mycetoma"
"Sharon Chen, Westmead Hospital (AUS), clinical mycology & diagnostics"
"Fanny Laternier, Pasteur, clinical & translational mycology"
"Joanne Rhodes, Radboud UMC, genomics"
"Maiken Cavling Arendrup, Staten Serum Institute, AFST, diagnostics"
"Laurence Millon, CHU Besançon, mucorales pcr"
"Maria Fernanda Gonzalez, Instituto Nacional de Ciencias Médicas, Mexico, Clinical Mycology"
"Dora Corzo-Leon, Exeter, Mucorales + clin mycology"
"Jennifer Head, UMich, epi, infectious disease dynamics, climate change"
"Morgan Gorris, Los Alamos, modeling, climate change"
