sheet,cell,row_name,date,resolved,replies,looks_like_a_request,row_in_directory,names_not_in_directory,text
Faculty,A1,Name,2018-04-21,no,2,yes,no,"Peptides, Antifungal","Please add Dr. Sonia Chadha
Email: [email redacted]
Institution: Bhabha Atomic Research Center, India, Asia.
Pathology, Bioinformatics & Evolution.
Intermediate stage
Keywords: Rice blast, Antifungal Peptides, Phylogenomics

Marked as resolved

My details are included twice in sheet
Re-opened"
Faculty,A1,Name,2022-07-26,no,0,,no,,https://forms.gle/H9mcg3rYqFNrE6Ee8 can be used to fill out information
Faculty,H1,Name,2016-04-05,yes,0,,no,,useful to encourage jr vs sr invites?
Faculty,I1,Name,2016-04-05,yes,0,,no,,Leaving off email for privacy? Or make it easier to contact them?
Faculty,G258,"Berman, Judith",2016-05-26,yes,0,,yes,,https://en-lifesci.tau.ac.il/profile/jberman
Faculty,D110,"Zhang, Ning",2016-05-26,yes,0,,yes,,Ecology
Faculty,E110,"Zhang, Ning",2016-05-26,yes,0,,yes,,Evolution
Faculty,A110,"Zhang, Ning",2016-05-26,yes,3,yes,yes,"Academy, Russian; Building, Purpose; Federation, Ukraine; Kyiv, Ukraine; Shevchenko, Taras; Yu, Tatyana","Biketova, Alona Yuryevna (Alyona)

Hi Alona - we are only adding PIs to this section not PhD students yet.

Marked as resolved

Dear Prof. Dr. Stajich,

Thank you very much for your comments!
I would like to add some information about my colleagues from Russian
Federation, Ukraine, and Armenia. Unfortunately there is lack of
information about women mycologists from countries of the former USSR.

1. Prof. Margarita A. Bondartseva - Komarov Botanical Institute of the
Russian Academy of Sciences, Russian Federation
https://www.researchgate.net/profile/Margarita_Bondartseva
http://www.binran.ru/en/sotrudniki/4919/
2. Dr. Tatyana Yu. Svetasheva - Tula State Pedagogical University, Russian
Federation
https://www.researchgate.net/profile/Tatyana_Svetasheva
3. Prof. Susanna M. Badalyan
<https://www.researchgate.net/profile/Susanna_Badalyan> - Yerevan State
University, Armenia
https://www.researchgate.net/profile/Susanna_Badalyan
4. Dr. Veronika V.  Dzhagan - Taras Shevchenko National University of Kyiv,
Ukraine
https://www.researchgate.net/profile/Veronika_Dzhagan
5. Prof. Maryna M. Suchomlyn - Taras Shevchenko National University of
Kyiv, Ukraine
http://biology.univ.kiev.ua/ru/kafedra-botaniki-spivrobitnik
i/kafedra-botaniki-vikladachi/736-sukhomlin-marina-mikolajivna
http://www.nbuv.gov.ua/old_jrn/natural/Pzp/suchomlyn.html
6. Prof. Irina O. Dudka - M.G. Kholodny Institute of Botany, Ukraine
http://www.cybertruffle.org.uk/people/dudka.htm
https://www.researchgate.net/profile/Dudka_Io

Best regards,
Alyona

-- 
Dr. Alona Biketova
Institute of Evolution
University of Haifa
Office: Multi-Purpose Building, Room 220 | Phone: 972-4-8249-653
Re-opened"
Faculty,H110,"Zhang, Ning",2016-05-26,yes,0,,yes,,Junior
Faculty,G110,"Zhang, Ning",2016-05-26,yes,0,,yes,,https://www.researchgate.net/profile/Alona_Biketova
Faculty,F110,"Zhang, Ning",2016-05-26,yes,0,,yes,,"Boletales, macromycetes, myxomycetes: taxonomy, systematics, biodiversity, phylogeny, biogeography."
Faculty,B110,"Zhang, Ning",2016-05-26,yes,0,,yes,,University of Haifa (IL)
Faculty,C258,"Berman, Judith",2016-05-26,yes,0,,yes,,Asia
Faculty,C110,"Zhang, Ning",2016-05-26,yes,0,,yes,,Asia
Faculty,A1,Name,2016-10-11,yes,0,,no,"Munster, Jolanda","van Munster, Jolanda"
Faculty,H76,"Partida-Martínez, Laila",2017-04-26,yes,0,,yes,,Intermediate
Faculty,F76,"Partida-Martínez, Laila",2017-04-26,yes,0,,yes,,I would add Plant Microbe Interactions
Faculty,A342,"Smart, Christine",2017-08-23,yes,0,,yes,,"Smart, Christine (Chris); Cornell University (US); North America;;; field pathogenomics, disease management, oomycite-plant interactions, oomycete plant pathogens, fungal plant pathogens; http://blogs.cornell.edu/smartlab/research/oomycete-pathogens/; Senior"
Faculty,A170,"Hart, Miranda",2018-04-20,yes,0,,yes,"Vannette, Rachel","Rachel Vannette, UC Davis, North America, Ecology, keywords: plant-fungal interactions; yeast; chemical ecology; insect-fungal interactions; career stage: junior; website: https://vannettelab.faculty.ucdavis.edu/"
Faculty,A202,"Padamsee, Mahajabeen (Maj)",2018-04-21,yes,1,yes,yes,,"Please add Maj Padamsee https://www.landcareresearch.co.nz/about/people/staff-details?id=cGFkYW1zZWVt

Added Maj! Thanks!"
Faculty,A1,Name,2018-04-21,yes,1,yes,no,"Bensassen, Douda; Corbett, Anita; Dudley, Aimee; Friedman, Katherine; Lockhart, Deborah; Northwest, Pacific","Please add
Rebecca Shapiro, University of Guelph, Canada   https://www.uoguelph.ca/mcb/people/dr-rebecca-shapiro

and

Deborah Lockhart, University of Aberdeen, UK  https://www.abdn.ac.uk/cmm/research/deborah-lockhart.php

and

Adilia Warris, University of Aberdeen, UK
https://www.abdn.ac.uk/cmm/research/adilia-warris.php

Others to Add:

Elizabeth Tran, Purdue University: http://www.tranlabrna.com/

Aimee Dudley, Pacific Northwest Research Institute: https://www.pnri.org/research-programs/dudley-lab/

Douda Bensassen, University of Georgia: https://bensassonlab.wordpress.com/

Anita Corbett, Emory: http://www.biology.emory.edu/index.cfm?faculty=444

Katherine Friedman, Vanderbilt: https://my.vanderbilt.edu/thefriedmanlab/

Patricia Wittkopp, Michigan: https://sites.lsa.umich.edu/wittkopp-lab/"
